Defined term,Definition,Reference1,Reference2
1/5,"Trace strength- able to activate the muscle group, movement may or may not occur",http://studylib.net/doc/8145789/acronyms---medical-record-terminology,
2/5,Poor strength- able to move with gravity eliminated or some movement against gravity,http://studylib.net/doc/8145789/acronyms---medical-record-terminology,
3/5,Fair strength- able to move against gravity but cannot accept resistance to movement,http://studylib.net/doc/8145789/acronyms---medical-record-terminology,
4/5,Good strength- able to move against gravity and accept some resistance,http://studylib.net/doc/8145789/acronyms---medical-record-terminology,
5/5,Normal strength- able to move against gravity and accept full resistance,http://studylib.net/doc/8145789/acronyms---medical-record-terminology,
"""-M""",no heart murmur,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
#8 portex trach,"A brand of tracheostomy devices, tube size 8.0 mm.","Roberts JR.  Roberts and Hedges’ Clinical Procedures in Emergency Medicine and Acute Care. E-Book. Elsevier Health Sciences, 2017.  P. 148.  ",
"(ci 1.7-1.9), improved ci 3.1","Cardiac index is a measure of heart function, and normal is at least 2.1.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3419124/,
<0.51 k/ul,low neutrophil or white blood cell count,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
<12 breaths per minute,abnormally low respiratory rate,https://my.clevelandclinic.org/health/articles/10881-vital-signs,
<50 PLT,"PLT is platelet count. The normal level is at least 150 x trillion/L, for normal clotting (coagulation).",https://www.ucsfhealth.org/medical-tests/platelet-count,
<95F,"<95F refers to body temperature less than 95 degrees Farenheit, which is too low (hypothermia).",https://my.clevelandclinic.org/health/articles/10881-vital-signs,
>140 mm Hg systolic blood pressure,"Hypertension, which is high blood pressure.",https://my.clevelandclinic.org/health/articles/10881-vital-signs,
>20 breaths per minute,tachypnea,Medical Dictionary for the Health Professions and Nursing © Farlex 2012.,
